epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6212,1.48473,4.56752,1.99022,0.02607,0.51642,0.08768,0.04011,1.98472,3.83871,2.48535,0.0672821,0.000330484,0.000330484
2,145.278,1.45773,3.69809,1.89959,0.37968,0.15534,0.04875,0.01749,2.25035,30.1498,3.06304,0.0342819,0.000663656,0.000663656
3,209.996,1.49813,3.40293,1.91969,0.72989,0.08373,0.09223,0.03601,2.0889,3.52007,2.42763,0.00128108,0.000996177,0.000996177
4,306.364,1.46872,3.12033,1.84938,0.84269,0.13104,0.1738,0.08937,1.90784,3.18673,2.07282,0.000997803,0.000997803,0.000997803
5,376.944,1.42076,2.99318,1.809,0.69252,0.1326,0.14237,0.07777,1.74884,3.34448,1.93964,0.000996097,0.000996097,0.000996097
6,424.643,1.37984,2.86731,1.76493,0.29361,0.24423,0.21528,0.11736,1.58702,2.79696,1.79871,0.000993906,0.000993906,0.000993906
7,472.912,1.39879,2.79499,1.76778,0.40446,0.45239,0.36021,0.19007,1.53143,2.28216,1.71298,0.000991232,0.000991232,0.000991232
8,545.627,1.33895,2.64426,1.71059,0.40426,0.49948,0.38859,0.21797,1.42027,2.34755,1.59628,0.000988079,0.000988079,0.000988079
9,586.101,1.31535,2.49438,1.66999,0.35304,0.42626,0.3764,0.23868,1.32404,2.28287,1.56665,0.000984449,0.000984449,0.000984449
10,624.278,1.31033,2.38136,1.65732,0.43339,0.5098,0.46098,0.31887,1.18061,1.99348,1.42081,0.000980345,0.000980345,0.000980345
11,658.859,1.25281,2.26175,1.61314,0.42636,0.54727,0.52871,0.34051,1.24999,1.9472,1.46619,0.000975773,0.000975773,0.000975773
12,705.594,1.19641,2.09642,1.55601,0.53424,0.66712,0.63314,0.40261,1.34328,1.81292,1.54099,0.000970736,0.000970736,0.000970736
13,743.147,1.18044,1.96525,1.55115,0.63578,0.64719,0.70407,0.43516,1.39072,1.8399,1.55176,0.000965239,0.000965239,0.000965239
14,772.162,1.15769,1.87137,1.51636,0.59739,0.68912,0.66844,0.40054,1.52055,1.72295,1.61091,0.000959289,0.000959289,0.000959289
15,802.013,1.17314,1.81627,1.53185,0.54046,0.71057,0.70797,0.45183,1.34262,1.60828,1.51245,0.000952889,0.000952889,0.000952889
16,830.509,1.16071,1.71082,1.52525,0.67625,0.67865,0.74015,0.43836,1.46576,1.57406,1.59719,0.000946048,0.000946048,0.000946048
17,860.509,1.13286,1.58793,1.48416,0.62572,0.7445,0.78045,0.44205,1.57725,1.56617,1.67465,0.000938772,0.000938772,0.000938772
18,891.133,1.15194,1.51096,1.49646,0.58807,0.77362,0.77485,0.4586,1.48056,1.3928,1.60412,0.000931067,0.000931067,0.000931067
19,918.055,1.08277,1.41103,1.44592,0.76301,0.7563,0.85251,0.54393,1.31775,1.28487,1.46108,0.000922942,0.000922942,0.000922942
20,944.831,1.09418,1.34913,1.4602,0.76627,0.87472,0.90786,0.50072,1.61427,1.20243,1.72268,0.000914405,0.000914405,0.000914405
21,972.668,1.09388,1.26541,1.44796,0.6806,0.82891,0.87953,0.47477,1.68197,1.36844,1.75601,0.000905463,0.000905463,0.000905463
22,1002,1.08908,1.26639,1.43774,0.79067,0.80174,0.89452,0.58291,1.37029,1.24863,1.51563,0.000896127,0.000896127,0.000896127
23,1031.75,1.09714,1.14889,1.44566,0.7758,0.88816,0.91098,0.61339,1.26252,1.10102,1.45395,0.000886404,0.000886404,0.000886404
24,1061.63,1.0632,1.09599,1.41671,0.80185,0.85441,0.92566,0.56314,1.37783,1.14952,1.50868,0.000876305,0.000876305,0.000876305
25,1089.14,1.07297,1.04445,1.41685,0.77272,0.85938,0.92115,0.51401,1.54052,1.04805,1.66435,0.000865839,0.000865839,0.000865839
26,1116.75,1.02168,0.99807,1.37428,0.79636,0.87204,0.9346,0.59346,1.36127,1.05896,1.50355,0.000855018,0.000855018,0.000855018
27,1144.04,1.03698,0.97283,1.37619,0.81516,0.87327,0.93959,0.61988,1.24971,0.98332,1.42861,0.000843851,0.000843851,0.000843851
28,1171.07,1.04155,0.92547,1.39445,0.88992,0.86766,0.95706,0.58367,1.38455,0.93345,1.52001,0.000832349,0.000832349,0.000832349
29,1196.99,1.02468,0.89031,1.39109,0.90382,0.90462,0.96095,0.59873,1.33894,0.92854,1.49547,0.000820525,0.000820525,0.000820525
30,1223.3,1.01394,0.84221,1.36881,0.84199,0.90444,0.96419,0.61162,1.31126,0.93627,1.46128,0.000808389,0.000808389,0.000808389
31,1251.77,1.02231,0.81043,1.36392,0.92486,0.90882,0.97043,0.61764,1.29853,0.87585,1.45174,0.000795954,0.000795954,0.000795954
32,1276.96,0.99696,0.78217,1.35236,0.87408,0.88577,0.94798,0.63332,1.19544,0.84031,1.3759,0.000783231,0.000783231,0.000783231
33,1304.69,0.98677,0.77457,1.3357,0.85479,0.87719,0.94974,0.59188,1.36519,1.02199,1.50215,0.000770234,0.000770234,0.000770234
34,1330.21,0.97366,0.75705,1.32747,0.92862,0.88528,0.97263,0.63139,1.27382,0.82266,1.43297,0.000756976,0.000756976,0.000756976
35,1355.42,0.98513,0.75659,1.33877,0.93512,0.92994,0.98297,0.52741,1.60218,0.85583,1.6965,0.000743468,0.000743468,0.000743468
36,1380.64,0.97796,0.72808,1.33619,0.91063,0.92972,0.98245,0.52886,1.6207,0.90289,1.72292,0.000729725,0.000729725,0.000729725
37,1408.28,0.95702,0.70367,1.31881,0.90417,0.934,0.97921,0.62613,1.31613,0.81162,1.458,0.000715761,0.000715761,0.000715761
38,1433.47,0.94875,0.69324,1.30845,0.95596,0.91445,0.98504,0.55191,1.50967,0.82041,1.63961,0.000701588,0.000701588,0.000701588
39,1458.72,0.92165,0.65982,1.2777,0.92161,0.9651,0.99115,0.64925,1.23543,0.71698,1.39469,0.000687222,0.000687222,0.000687222
40,1484.01,0.92413,0.62879,1.28452,0.92178,0.94354,0.98776,0.662,1.20229,0.71468,1.37439,0.000672675,0.000672675,0.000672675
41,1508.25,0.91765,0.59999,1.27919,0.92069,0.9655,0.98267,0.67486,1.17221,0.67368,1.3449,0.000657963,0.000657963,0.000657963
42,1532.75,0.90126,0.60336,1.2678,0.94471,0.92028,0.98985,0.58097,1.45715,0.76901,1.55747,0.000643101,0.000643101,0.000643101
43,1556.74,0.92137,0.61223,1.27747,0.93829,0.96721,0.98987,0.62668,1.29957,0.68282,1.43164,0.000628101,0.000628101,0.000628101
44,1581.69,0.90857,0.60162,1.25386,0.94792,0.96307,0.99174,0.61296,1.3582,0.68072,1.48185,0.000612981,0.000612981,0.000612981
45,1606.48,0.90149,0.58068,1.26411,0.91864,0.96306,0.99021,0.59766,1.4269,0.70632,1.54548,0.000597754,0.000597754,0.000597754
46,1630.94,0.92496,0.5803,1.27571,0.92229,0.93774,0.98729,0.65019,1.25786,0.67638,1.40289,0.000582435,0.000582435,0.000582435
47,1655.33,0.90412,0.56351,1.25988,0.95753,0.92599,0.98956,0.68093,1.142,0.61982,1.3225,0.00056704,0.00056704,0.00056704
48,1679.8,0.91083,0.55878,1.27268,0.89823,0.95799,0.98814,0.66725,1.17573,0.65738,1.34292,0.000551584,0.000551584,0.000551584
49,1703.74,0.92946,0.55189,1.28656,0.9369,0.9504,0.98744,0.59207,1.4173,0.69763,1.55916,0.000536081,0.000536081,0.000536081
50,1728.3,0.93408,0.56552,1.29729,0.94841,0.96113,0.98737,0.61736,1.33862,0.6558,1.46211,0.000520548,0.000520548,0.000520548
